formacao;unidade_amostral;lat;long;mes;temperatura_mensal;rh_mensal;dpv_mensal;tipo_solo;abertura_dossel
baixa;a;;;abr/26;;;;A;
baixa;a;;;mai/26;;;;A;
baixa;a;;;jun/26;;;;A;
baixa;a;;;jul/26;;;;A;
baixa;a;;;ago/26;;;;A;
baixa;a;;;set/26;;;;A;
baixa;a;;;out/26;;;;A;
baixa;a;;;nov/26;;;;A;
baixa;a;;;dez/26;;;;A;
baixa;a;;;jan/27;;;;A;
baixa;a;;;fev/27;;;;A;
baixa;a;;;mar/27;;;;A;
baixa;b;;;abr/26;;;;A;
baixa;b;;;mai/26;;;;A;
baixa;b;;;jun/26;;;;A;
baixa;b;;;jul/26;;;;A;
baixa;b;;;ago/26;;;;A;
baixa;b;;;set/26;;;;A;
baixa;b;;;out/26;;;;A;
baixa;b;;;nov/26;;;;A;
baixa;b;;;dez/26;;;;A;
baixa;b;;;jan/27;;;;A;
baixa;b;;;fev/27;;;;A;
baixa;b;;;mar/27;;;;A;
baixa;c;;;abr/26;;;;A;
baixa;c;;;mai/26;;;;A;
baixa;c;;;jun/26;;;;A;
baixa;c;;;jul/26;;;;A;
baixa;c;;;ago/26;;;;A;
baixa;c;;;set/26;;;;A;
baixa;c;;;out/26;;;;A;
baixa;c;;;nov/26;;;;A;
baixa;c;;;dez/26;;;;A;
baixa;c;;;jan/27;;;;A;
baixa;c;;;fev/27;;;;A;
baixa;c;;;mar/27;;;;A;
submontana;d;;;abr/26;;;;B;
submontana;d;;;mai/26;;;;B;
submontana;d;;;jun/26;;;;B;
submontana;d;;;jul/26;;;;B;
submontana;d;;;ago/26;;;;B;
submontana;d;;;set/26;;;;B;
submontana;d;;;out/26;;;;B;
submontana;d;;;nov/26;;;;B;
submontana;d;;;dez/26;;;;B;
submontana;d;;;jan/27;;;;B;
submontana;d;;;fev/27;;;;B;
submontana;d;;;mar/27;;;;B;
submontana;e;;;abr/26;;;;B;
submontana;e;;;mai/26;;;;B;
submontana;e;;;jun/26;;;;B;
submontana;e;;;jul/26;;;;B;
submontana;e;;;ago/26;;;;B;
submontana;e;;;set/26;;;;B;
submontana;e;;;out/26;;;;B;
submontana;e;;;nov/26;;;;B;
submontana;e;;;dez/26;;;;B;
submontana;e;;;jan/27;;;;B;
submontana;e;;;fev/27;;;;B;
submontana;e;;;mar/27;;;;B;
submontana;f;;;abr/26;;;;B;
submontana;f;;;mai/26;;;;B;
submontana;f;;;jun/26;;;;B;
submontana;f;;;jul/26;;;;B;
submontana;f;;;ago/26;;;;B;
submontana;f;;;set/26;;;;B;
submontana;f;;;out/26;;;;B;
submontana;f;;;nov/26;;;;B;
submontana;f;;;dez/26;;;;B;
submontana;f;;;jan/27;;;;B;
submontana;f;;;fev/27;;;;B;
submontana;f;;;mar/27;;;;B;
montana;g;;;abr/26;;;;C;
montana;g;;;mai/26;;;;C;
montana;g;;;jun/26;;;;C;
montana;g;;;jul/26;;;;C;
montana;g;;;ago/26;;;;C;
montana;g;;;set/26;;;;C;
montana;g;;;out/26;;;;C;
montana;g;;;nov/26;;;;C;
montana;g;;;dez/26;;;;C;
montana;g;;;jan/27;;;;C;
montana;g;;;fev/27;;;;C;
montana;g;;;mar/27;;;;C;
montana;h;;;abr/26;;;;C;
montana;h;;;mai/26;;;;C;
montana;h;;;jun/26;;;;C;
montana;h;;;jul/26;;;;C;
montana;h;;;ago/26;;;;C;
montana;h;;;set/26;;;;C;
montana;h;;;out/26;;;;C;
montana;h;;;nov/26;;;;C;
montana;h;;;dez/26;;;;C;
montana;h;;;jan/27;;;;C;
montana;h;;;fev/27;;;;C;
montana;h;;;mar/27;;;;C;
montana;i;;;abr/26;;;;C;
montana;i;;;mai/26;;;;C;
montana;i;;;jun/26;;;;C;
montana;i;;;jul/26;;;;C;
montana;i;;;ago/26;;;;C;
montana;i;;;set/26;;;;C;
montana;i;;;out/26;;;;C;
montana;i;;;nov/26;;;;C;
montana;i;;;dez/26;;;;C;
montana;i;;;jan/27;;;;C;
montana;i;;;fev/27;;;;C;
montana;i;;;mar/27;;;;C;
